created_at,user.id,extended_tweet.full_text,text,place.name,LATITUDE,LONGITUDE,coordinates.coordinates,place.bounding_box.coordinates
Thu Jul 26 14:10:32 +0000 2018,49436333,"The scaffolding is coming down goldsmithscca! Look at the gorgeous green tint of that corrugated concrete... @ Goldsmiths, University of London https://t.co/eZxjjSyO3k",The scaffolding is coming down goldsmithscca! Look at the gorgeous green tint of that corrugated concrete... @ Gold… https://t.co/sPmVfINtny,Lewisham,51.47438093,-0.03646502,"[-0.03646502,51.47438093]","[[[-0.074547,51.414087],[-0.074547,51.494127],[0.038567,51.494127],[0.038567,51.414087]]]"
Thu Jul 26 14:11:49 +0000 2018,7.15E+17,"It’s a throwback! I think I should bring back this style. 
.
.
.
.
.

Love my look? DM me or call the number in my bio for details. 💋
.
.
.
.
#shadeslondonhair #purevirginhair… https://t.co/Tf2aOkqm4H","It’s a throwback! I think I should bring back this style. 
.
.
.
.
.

Love my look? DM me or call the number in my… https://t.co/Bbbku7WZGR",London,51.50711486,-0.12731805,"[-0.12731805,51.50711486]","[[[-0.187894,51.483718],[-0.187894,51.516466],[-0.109978,51.516466],[-0.109978,51.483718]]]"
Thu Jul 26 14:13:00 +0000 2018,7.10E+17,"I can officially say my legs are on fire after yesterday’s killer leg session...............................
Unlike chest, legs, and triceps there is only 1 way to work each muscle of the… https://t.co/Ced3YYgv18","I can officially say my legs are on fire after yesterday’s killer leg session...............................
Unlike… https://t.co/Mk15RnxRvG",London,51.50711486,-0.12731805,"[-0.12731805,51.50711486]","[[[-0.187894,51.483718],[-0.187894,51.516466],[-0.109978,51.516466],[-0.109978,51.483718]]]"
Thu Jul 26 14:13:11 +0000 2018,3369029573,,One of those annoying wedding times 🙄😊 ©️Emilia #browedding #bridesmaid #burgundy @ Chilston Park Hotel https://t.co/3jGzRJHCdt,South East,51.21911085,0.7118676,"[0.7118676,51.21911085]","[[[-1.957296,50.574606],[-1.957296,52.196285],[1.451788,52.196285],[1.451788,50.574606]]]"
Thu Jul 26 14:13:16 +0000 2018,1575562728,One of the better casks I’ve had but I’m a sucker for rye. - Drinking a Wryneck Rye by @thamessidebrew at @thesussexarms  — https://t.co/ztwcjz3xVJ,One of the better casks I’ve had but I’m a sucker for rye. - Drinking a Wryneck Rye by @thamessidebrew at… https://t.co/wEhL3WvYA9,Richmond,51.4442,-0.345782,"[-0.345782,51.4442]","[[[-0.39216,51.391383],[-0.39216,51.489646],[-0.221832,51.489646],[-0.221832,51.391383]]]"
Thu Jul 26 14:14:03 +0000 2018,1252521776,"Chukauni: Yoghurt &amp; potato salad. During summer, under blistering heat, you can find this dish ( one of my favourites) in every corners; be it street food vendors or road side vendors in… https://t.co/PS2bCDWKrh","Chukauni: Yoghurt &amp; potato salad. During summer, under blistering heat, you can find this dish ( one of my favourit… https://t.co/aT2wpjFZoi",London,51.50711486,-0.12731805,"[-0.12731805,51.50711486]","[[[-0.187894,51.483718],[-0.187894,51.516466],[-0.109978,51.516466],[-0.109978,51.483718]]]"
Thu Jul 26 14:14:05 +0000 2018,2362765555,"So much love, pride and passion in this pic.  #tbt to us just finishing the ladies area at our beloved gym-YORKYS GYM
-
-
SWIPE ACROSS&gt;&gt;&gt;&gt;to see; machines in place and ready to go
-
-
One… https://t.co/XfBNOYafYA","So much love, pride and passion in this pic.  #tbt to us just finishing the ladies area at our beloved gym-YORKYS G… https://t.co/ePU7R0YIhd",Wandsworth,51.42471536,-0.16427926,"[-0.16427926,51.42471536]","[[[-0.259465,51.417277],[-0.259465,51.486036],[-0.127974,51.486036],[-0.127974,51.417277]]]"
Thu Jul 26 14:14:33 +0000 2018,118408322,,Loving positive play today at Leyton Jubilee Park! https://t.co/sYvwR62j0N,City of London,51.51589697,-0.08255106,"[-0.08255106,51.51589697]","[[[-0.112442,51.5068],[-0.112442,51.522161],[-0.073379,51.522161],[-0.073379,51.5068]]]"
Thu Jul 26 14:14:51 +0000 2018,7.57E+17,Banarasi brocade organza saree #sareelove #sareeindia #sareeaddict #saree #silksaree #sareesusa #sareestyle #sarees #sareeblog #saree😍 #sareeday #sareefashion #sareefashion… https://t.co/RjAqjEATeI,Banarasi brocade organza saree #sareelove #sareeindia #sareeaddict #saree #silksaree #sareesusa #sareestyle #sarees… https://t.co/ZOGTGt8VrY,Dartford,51.45,0.216667,"[0.216667,51.45]","[[[0.150383,51.414106],[0.150383,51.466343],[0.262875,51.466343],[0.262875,51.414106]]]"
Thu Jul 26 14:14:54 +0000 2018,216112574,"Had a wonderful time storyboarding &amp; shooting “OATH BOUND” with first time director OLA LANIYAN (brilliant team)
CREW
Writer/ director @laniyansink 
DP/ Storyboard @akpe1 
Producer… https://t.co/69Z6AGgW7g","Had a wonderful time storyboarding &amp; shooting “OATH BOUND” with first time director OLA LANIYAN (brilliant team)
CR… https://t.co/ywTTSJ48yQ",London,51.50711486,-0.12731805,"[-0.12731805,51.50711486]","[[[-0.187894,51.483718],[-0.187894,51.516466],[-0.109978,51.516466],[-0.109978,51.483718]]]"
Thu Jul 26 14:15:05 +0000 2018,7.57E+17,Pure bishnupuri silk Kantha Stitch saree #sareelove #sareeindia #sareeaddict #saree #silksaree #sareesusa #sareestyle #sarees #sareeblog #saree😍 #sareeday #sareefashion #sareesofinstagram… https://t.co/iDQhxxwyxP,Pure bishnupuri silk Kantha Stitch saree #sareelove #sareeindia #sareeaddict #saree #silksaree #sareesusa… https://t.co/0qzAxRXpHS,Dartford,51.45,0.216667,"[0.216667,51.45]","[[[0.150383,51.414106],[0.150383,51.466343],[0.262875,51.466343],[0.262875,51.414106]]]"
Thu Jul 26 14:15:09 +0000 2018,277146278,"A bare dancing a gwaan yah suh . Nuh stand up inna corner ting 💥💥💥💥💥💥💥💥💥🔥🔥🔥🔥🔥🔥🔥🔥 Another Movie Pending 📣📣📣📣📣📣📣📣📣📣📣📣📣📣📣📣📣
.
.
.
.
.
.
@prettyshades_ @Terrakid1 sparks150592  
#jamaica… https://t.co/t8zmp2pw6l",A bare dancing a gwaan yah suh . Nuh stand up inna corner ting 💥💥💥💥💥💥💥💥💥🔥🔥🔥🔥🔥🔥🔥🔥 Another Movie Pending 📣📣📣📣📣📣📣📣📣📣📣📣… https://t.co/G0rIehouFN,London,51.50711486,-0.12731805,"[-0.12731805,51.50711486]","[[[-0.187894,51.483718],[-0.187894,51.516466],[-0.109978,51.516466],[-0.109978,51.483718]]]"
